comprador_id,renda_mensal_declarada,idade,estado_civil,profissao,numero_imoveis_adquiridos,possui_restricao_credito,pep
CPF-00437,10814.75,59,Divorciado,Autônomo,1,1,0
CPF-02057,5507.2,39,Divorciado,Empresário,1,0,0
CPF-05907,10196.86,28,Divorciado,Autônomo,1,0,0
CPF-00666,5116.05,34,Divorciado,Engenheiro,1,0,0
CPF-06902,7291.62,39,Divorciado,Engenheiro,1,0,0
CPF-07102,12098.16,41,Divorciado,Engenheiro,2,0,0
CPF-00105,13438.19,60,Casado,Outros,1,1,0
CPF-04049,7593.87,36,Solteiro,Outros,1,0,0
CPF-01356,9060.69,44,Casado,Empresário,1,0,0
CPF-03628,8789.26,40,Solteiro,Advogado,1,0,0
CPF-04883,9951.26,63,Divorciado,Empresário,1,0,0
CPF-03743,4125.02,54,Casado,Autônomo,1,0,0
CPF-02855,7328.3,50,Divorciado,Médico,1,0,0
CPF-02793,8654.74,42,Casado,Autônomo,1,0,0
CPF-05064,5618.1,44,Solteiro,Outros,1,0,0
CPF-03975,1500.0,50,Casado,Autônomo,1,1,0
CPF-03857,8391.65,34,Casado,Advogado,1,0,0
CPF-06278,7538.37,46,Divorciado,Servidor,2,0,0
CPF-04077,9420.58,48,Solteiro,Advogado,1,0,0
CPF-02777,9011.56,36,Casado,Médico,1,0,0
CPF-03961,5280.93,55,Divorciado,Servidor,2,0,0
CPF-04516,9329.55,54,Casado,Médico,1,0,0
CPF-06158,6172.63,57,Casado,Engenheiro,2,0,0
CPF-06556,10310.02,45,Divorciado,Comerciante,1,0,0
CPF-06399,8397.69,56,Divorciado,Outros,1,0,0
CPF-06469,4609.93,62,Casado,Autônomo,1,0,0
CPF-02108,4091.25,42,Solteiro,Autônomo,2,0,0
CPF-02755,9248.44,61,Casado,Comerciante,1,0,0
CPF-01239,10881.93,58,Casado,Engenheiro,2,0,0
CPF-06533,5679.14,56,Casado,Outros,2,0,0
CPF-02439,8562.45,50,Divorciado,Comerciante,2,0,0
CPF-06558,9751.32,27,Casado,Engenheiro,1,0,0
CPF-02535,8421.83,51,Divorciado,Autônomo,1,0,0
CPF-04820,7710.62,65,Casado,Outros,2,0,1
CPF-05456,8758.09,46,Divorciado,Médico,2,0,0
CPF-00784,6407.38,35,Casado,Engenheiro,1,0,0
CPF-05972,7623.04,38,Casado,Autônomo,1,0,0
CPF-04460,3725.45,44,Divorciado,Advogado,1,0,0
CPF-02453,5838.98,60,Solteiro,Engenheiro,1,1,0
CPF-07354,8493.24,53,Divorciado,Médico,2,0,0
CPF-01129,5394.78,60,Casado,Servidor,2,0,0
CPF-06405,12407.31,26,Solteiro,Comerciante,2,0,0
CPF-07573,4008.96,44,Divorciado,Comerciante,1,0,0
CPF-06499,12123.11,58,Casado,Advogado,1,0,0
CPF-05249,6508.56,52,Solteiro,Advogado,1,0,0
CPF-00909,8171.58,49,Divorciado,Servidor,1,0,0
CPF-01568,6499.92,30,Divorciado,Engenheiro,1,0,0
CPF-06167,7204.22,42,Casado,Autônomo,2,0,0
CPF-04068,5107.58,56,Casado,Médico,2,0,0
CPF-00742,8037.35,33,Divorciado,Outros,1,0,1
CPF-04444,2235.97,27,Divorciado,Comerciante,2,0,0
CPF-07027,11969.54,40,Divorciado,Comerciante,2,0,0
CPF-07262,10304.24,32,Divorciado,Empresário,2,1,0
CPF-06276,8713.1,27,Casado,Médico,1,0,0
CPF-05132,6865.48,59,Casado,Engenheiro,1,0,0
CPF-00571,1500.0,41,Divorciado,Comerciante,2,0,0
CPF-02105,2706.79,49,Casado,Servidor,1,0,0
CPF-05197,6306.42,54,Solteiro,Médico,1,0,0
CPF-03078,4006.51,26,Solteiro,Comerciante,2,0,0
CPF-03639,4608.7,39,Casado,Outros,1,0,0
CPF-02762,4813.88,62,Divorciado,Advogado,2,0,0
CPF-06493,13264.53,61,Solteiro,Advogado,1,0,0
CPF-03614,8217.73,38,Casado,Engenheiro,1,0,1
CPF-06243,10538.76,45,Solteiro,Comerciante,1,0,0
CPF-01957,11237.49,64,Casado,Autônomo,1,0,0
CPF-07384,9376.52,35,Divorciado,Outros,2,0,0
CPF-03587,7335.49,57,Solteiro,Médico,1,0,0
CPF-01482,5062.23,48,Divorciado,Servidor,2,0,0
CPF-04904,6078.28,62,Casado,Empresário,1,0,0
CPF-02027,12120.18,47,Casado,Empresário,2,0,0
CPF-02215,9089.92,54,Casado,Autônomo,1,1,0
CPF-04607,6679.2,65,Divorciado,Advogado,1,0,0
CPF-03128,5524.97,62,Divorciado,Empresário,2,0,0
CPF-02022,5110.22,55,Casado,Engenheiro,1,0,0
CPF-05366,5754.21,64,Solteiro,Empresário,1,0,0
CPF-03087,5958.7,31,Solteiro,Advogado,1,0,0
CPF-02863,3658.56,42,Divorciado,Comerciante,2,0,0
CPF-03531,9270.62,41,Divorciado,Advogado,2,0,0
CPF-05557,10160.9,27,Casado,Médico,1,0,0
CPF-05328,1500.0,45,Divorciado,Médico,2,0,0
CPF-07385,6990.22,46,Divorciado,Servidor,2,0,0
CPF-03467,9683.6,31,Casado,Autônomo,1,0,0
CPF-03095,12404.53,27,Solteiro,Comerciante,2,0,0
CPF-01472,7558.28,46,Divorciado,Advogado,1,0,0
CPF-05292,7173.89,28,Casado,Autônomo,1,0,0
CPF-03876,12624.96,53,Casado,Autônomo,2,0,0
CPF-07198,7684.59,35,Divorciado,Servidor,1,0,0
CPF-07321,7680.15,51,Divorciado,Autônomo,2,0,0
CPF-03941,4763.26,46,Casado,Médico,1,0,0
CPF-07194,15815.27,26,Solteiro,Engenheiro,2,0,0
CPF-02299,11153.39,29,Solteiro,Comerciante,2,0,0
CPF-05828,6764.25,26,Solteiro,Advogado,1,0,0
CPF-01148,3058.71,44,Solteiro,Autônomo,2,0,0
CPF-02031,2416.52,35,Casado,Engenheiro,2,0,0
CPF-05062,9023.95,38,Divorciado,Outros,1,0,0
CPF-07690,7562.22,28,Divorciado,Engenheiro,2,1,0
CPF-01212,11794.65,45,Casado,Advogado,1,0,0
CPF-06719,7053.3,57,Casado,Servidor,2,0,0
CPF-07351,7932.47,25,Divorciado,Autônomo,2,0,0
CPF-04976,7814.36,45,Divorciado,Empresário,1,1,0
CPF-06647,5546.65,25,Casado,Autônomo,2,0,0
CPF-02236,10738.17,53,Casado,Engenheiro,1,0,0
CPF-07438,11093.96,47,Casado,Outros,2,0,0
CPF-05301,5080.2,64,Casado,Médico,2,0,1
CPF-01286,9542.85,40,Divorciado,Advogado,1,0,0
CPF-00357,4755.53,52,Solteiro,Médico,1,0,0
CPF-05763,11032.6,25,Solteiro,Comerciante,2,0,0
CPF-06579,5180.86,48,Divorciado,Advogado,1,0,0
CPF-00048,7101.82,27,Solteiro,Autônomo,2,0,0
CPF-03599,8050.0,32,Divorciado,Servidor,1,0,0
CPF-05365,11788.27,48,Casado,Engenheiro,1,0,1
CPF-06130,13489.45,49,Solteiro,Médico,1,0,0
CPF-02190,8927.36,29,Divorciado,Outros,1,1,0
CPF-00590,12093.37,50,Divorciado,Comerciante,1,1,0
CPF-05294,1500.0,39,Casado,Outros,1,0,0
CPF-01537,7725.78,65,Casado,Advogado,1,0,0
CPF-05777,8111.77,25,Casado,Autônomo,1,0,0
CPF-05460,11764.9,62,Solteiro,Engenheiro,2,0,0
CPF-00218,10870.41,58,Divorciado,Engenheiro,1,0,1
CPF-07520,4495.68,39,Casado,Servidor,2,1,0
CPF-04232,8326.21,65,Solteiro,Advogado,2,0,0
CPF-02222,6947.61,40,Solteiro,Outros,2,0,0
CPF-00433,8821.79,37,Solteiro,Autônomo,2,0,0
CPF-01095,12502.92,41,Casado,Outros,2,0,0
CPF-00216,5776.32,30,Casado,Servidor,2,0,0
CPF-02622,9490.24,57,Solteiro,Comerciante,2,0,0
CPF-05748,7916.2,55,Divorciado,Outros,2,0,0
CPF-03866,8127.49,47,Divorciado,Servidor,1,0,0
CPF-07416,9500.63,53,Solteiro,Autônomo,1,0,0
CPF-00551,8653.93,35,Casado,Médico,1,0,0
CPF-00724,7288.38,26,Solteiro,Comerciante,1,0,0
CPF-05878,8056.69,32,Solteiro,Servidor,1,0,0
CPF-01452,8460.43,38,Casado,Comerciante,2,0,0
CPF-07607,7141.23,55,Solteiro,Servidor,2,0,0
CPF-04376,3289.33,37,Divorciado,Autônomo,2,0,1
CPF-09017,4725.65,60,Solteiro,Empresário,3,0,0
CPF-00262,2938.0,44,Divorciado,Médico,1,0,0
CPF-06044,1500.0,35,Solteiro,Comerciante,2,0,0
CPF-06371,5906.85,30,Casado,Servidor,2,0,0
CPF-06229,6050.47,50,Solteiro,Advogado,2,0,0
CPF-05608,3543.31,34,Divorciado,Servidor,2,0,0
CPF-06677,2663.04,42,Casado,Comerciante,2,0,0
CPF-03953,3006.69,65,Solteiro,Comerciante,1,0,0
CPF-05131,7264.58,46,Casado,Médico,2,0,0
CPF-05964,9048.73,63,Divorciado,Advogado,2,0,0
CPF-04275,9594.4,47,Divorciado,Médico,2,1,0
CPF-06136,13338.37,62,Casado,Advogado,2,1,0
CPF-05484,7339.63,52,Divorciado,Outros,2,0,0
CPF-02412,4598.68,46,Solteiro,Servidor,1,0,0
CPF-05021,8016.26,33,Solteiro,Comerciante,2,0,0
CPF-06532,10477.77,58,Divorciado,Autônomo,1,0,0
CPF-06961,5141.85,54,Solteiro,Autônomo,1,0,0
CPF-03922,13957.08,64,Solteiro,Engenheiro,2,0,0
CPF-09010,3598.72,55,Divorciado,Autônomo,4,0,0
CPF-04093,11123.39,51,Solteiro,Advogado,2,0,0
CPF-02615,10125.36,60,Casado,Médico,1,0,1
CPF-05628,11882.07,44,Casado,Comerciante,2,0,0
CPF-07763,6557.72,64,Divorciado,Médico,2,0,0
CPF-00989,6305.55,38,Casado,Engenheiro,2,0,0
CPF-00871,8625.96,64,Solteiro,Comerciante,2,0,0
CPF-03420,9938.67,61,Divorciado,Médico,1,1,1
CPF-03916,8618.35,49,Casado,Servidor,2,0,0
CPF-04696,3617.17,33,Casado,Servidor,2,0,0
CPF-01785,12508.46,45,Divorciado,Engenheiro,1,0,0
CPF-04034,10856.94,43,Solteiro,Médico,1,0,0
CPF-04310,6349.8,38,Casado,Comerciante,1,0,1
CPF-05928,13658.66,64,Divorciado,Servidor,2,1,0
CPF-05044,14096.3,46,Casado,Autônomo,2,0,0
CPF-05435,14404.17,33,Solteiro,Médico,1,0,0
CPF-02229,8461.71,38,Casado,Autônomo,1,0,1
CPF-07641,8121.8,27,Divorciado,Outros,2,0,0
CPF-00113,7749.1,50,Divorciado,Comerciante,1,0,0
CPF-03045,4714.65,44,Casado,Autônomo,2,0,0
CPF-00813,6221.13,52,Solteiro,Autônomo,2,0,0
CPF-06218,9429.96,62,Casado,Servidor,2,0,0
CPF-03651,1880.89,44,Solteiro,Comerciante,1,0,0
CPF-07374,11268.75,48,Divorciado,Servidor,1,0,0
CPF-02973,7325.05,35,Solteiro,Empresário,1,1,0
CPF-03024,7065.59,46,Solteiro,Engenheiro,2,0,0
CPF-07925,9210.87,61,Casado,Autônomo,2,0,0
CPF-00092,11157.31,27,Casado,Médico,2,0,0
CPF-01567,12159.61,55,Casado,Outros,1,0,0
CPF-01010,3294.25,47,Solteiro,Médico,2,0,0
CPF-00308,4510.59,39,Divorciado,Autônomo,2,0,0
CPF-07499,3091.48,33,Divorciado,Servidor,2,0,0
CPF-01303,6477.83,45,Casado,Outros,2,0,0
CPF-05317,8571.21,32,Solteiro,Comerciante,2,0,0
CPF-04714,9844.69,47,Casado,Advogado,1,0,0
CPF-00380,8185.93,39,Casado,Outros,2,0,0
CPF-02413,8642.63,50,Divorciado,Advogado,1,0,0
CPF-01247,3418.38,32,Casado,Servidor,2,0,0
CPF-05526,7128.29,49,Solteiro,Autônomo,2,0,0
CPF-02821,12375.66,45,Divorciado,Advogado,2,0,0
CPF-03958,7622.87,45,Divorciado,Empresário,2,0,0
CPF-04663,8550.17,42,Casado,Advogado,2,0,0
CPF-05737,2593.46,45,Solteiro,Servidor,1,0,0
CPF-00908,10808.34,25,Solteiro,Servidor,1,0,0
CPF-04215,9316.59,37,Casado,Outros,2,0,0
CPF-02368,10007.73,55,Solteiro,Servidor,2,0,0
CPF-07777,7862.16,44,Solteiro,Autônomo,1,0,0
CPF-07917,6422.81,37,Casado,Médico,1,0,0
CPF-06705,4366.27,26,Casado,Empresário,2,0,0
CPF-00161,4862.24,28,Casado,Outros,1,0,0
CPF-00225,7438.3,43,Divorciado,Engenheiro,2,1,0
CPF-05683,5302.39,56,Casado,Autônomo,2,0,0
CPF-00960,6102.39,60,Solteiro,Advogado,1,0,0
CPF-05354,5646.82,37,Solteiro,Médico,1,0,0
CPF-07840,11414.95,56,Casado,Autônomo,2,0,0
CPF-04711,11116.05,57,Divorciado,Engenheiro,2,0,0
CPF-01731,3412.5,37,Divorciado,Advogado,2,0,0
CPF-03126,7775.75,39,Solteiro,Empresário,1,0,0
CPF-05299,7868.96,29,Divorciado,Empresário,2,0,0
CPF-04495,9188.14,49,Solteiro,Médico,2,0,0
CPF-04007,5842.24,52,Solteiro,Engenheiro,1,0,0
CPF-05096,9254.47,49,Casado,Comerciante,1,0,0
CPF-07557,5037.45,58,Solteiro,Advogado,2,0,0
CPF-05800,7720.41,51,Solteiro,Empresário,1,0,0
CPF-04515,10723.18,31,Solteiro,Advogado,2,0,0
CPF-01962,1681.15,61,Divorciado,Empresário,2,0,0
CPF-07871,5627.12,33,Solteiro,Outros,1,0,0
CPF-06789,9584.68,35,Casado,Comerciante,1,0,0
CPF-05025,7247.37,65,Casado,Comerciante,1,0,0
CPF-00845,8936.82,43,Solteiro,Advogado,2,0,0
CPF-04872,6799.75,41,Casado,Médico,2,0,1
CPF-00728,3329.46,52,Casado,Empresário,1,0,0
CPF-06264,10159.08,54,Divorciado,Engenheiro,1,0,0
CPF-00731,10145.91,53,Casado,Advogado,1,0,0
CPF-07954,4596.19,47,Solteiro,Servidor,1,0,0
CPF-04810,7979.64,41,Casado,Médico,2,0,0
CPF-07881,7853.88,34,Casado,Empresário,2,0,0
CPF-02448,8116.58,51,Divorciado,Engenheiro,2,0,0
CPF-02409,13010.3,65,Casado,Advogado,2,0,0
CPF-03617,7938.34,34,Divorciado,Comerciante,1,0,0
CPF-04336,4723.0,56,Casado,Advogado,2,0,0
CPF-00753,4547.18,31,Casado,Empresário,2,0,0
CPF-00788,11708.34,34,Casado,Autônomo,2,0,0
CPF-00166,5496.99,56,Divorciado,Empresário,1,0,0
CPF-04222,6803.99,57,Solteiro,Advogado,2,0,0
CPF-01589,6014.97,56,Solteiro,Advogado,1,0,0
CPF-07025,1500.0,28,Casado,Médico,1,0,0
CPF-07203,5251.63,41,Divorciado,Autônomo,1,0,0
CPF-06945,9287.4,42,Solteiro,Servidor,2,0,0
CPF-03397,7443.4,62,Divorciado,Servidor,1,0,0
CPF-02629,6932.34,33,Solteiro,Outros,2,0,0
CPF-04171,9191.97,29,Solteiro,Engenheiro,2,0,0
CPF-01249,11856.91,29,Solteiro,Comerciante,2,0,0
CPF-06126,9734.03,29,Solteiro,Autônomo,2,0,0
CPF-05744,9585.86,52,Divorciado,Autônomo,1,0,0
CPF-05514,7435.96,62,Casado,Comerciante,1,0,0
CPF-00181,9525.31,35,Divorciado,Comerciante,1,0,0
CPF-02073,10477.49,46,Divorciado,Advogado,1,0,0
CPF-07239,5476.71,50,Casado,Servidor,1,0,0
CPF-01185,7030.25,58,Divorciado,Empresário,2,0,0
CPF-01429,7257.19,62,Divorciado,Advogado,2,0,0
CPF-02869,8766.19,60,Divorciado,Empresário,1,0,0
CPF-05585,8917.0,30,Casado,Outros,2,0,0
CPF-03484,10677.66,36,Divorciado,Outros,1,0,0
CPF-01166,1877.17,65,Divorciado,Servidor,2,0,0
CPF-01557,8877.63,28,Casado,Empresário,2,0,0
CPF-01811,12278.03,29,Casado,Comerciante,2,0,0
CPF-00578,10461.27,62,Casado,Advogado,1,0,0
CPF-06329,6004.33,41,Divorciado,Autônomo,1,0,0
CPF-03182,7568.02,36,Divorciado,Outros,1,0,0
CPF-00746,8320.07,51,Solteiro,Comerciante,1,0,0
CPF-03496,13845.35,27,Casado,Advogado,2,0,0
CPF-04738,5970.16,50,Divorciado,Advogado,1,0,0
CPF-07963,10230.1,49,Solteiro,Advogado,1,0,0
CPF-02802,10301.73,48,Casado,Comerciante,1,0,0
CPF-03155,8015.88,39,Casado,Outros,2,1,0
CPF-05188,14228.75,36,Casado,Médico,1,0,0
CPF-02526,7128.62,49,Casado,Servidor,1,0,0
CPF-07597,9400.28,36,Divorciado,Empresário,1,0,0
CPF-02331,9503.6,50,Casado,Engenheiro,1,0,1
CPF-05944,10306.83,57,Divorciado,Médico,1,0,0
CPF-07606,6037.28,55,Casado,Advogado,2,0,0
CPF-06941,5766.16,54,Solteiro,Autônomo,1,0,0
CPF-02046,7508.43,27,Casado,Comerciante,1,0,0
CPF-05502,7012.19,56,Solteiro,Comerciante,2,0,0
CPF-07905,6812.14,58,Divorciado,Servidor,2,0,0
CPF-02912,8795.96,62,Divorciado,Comerciante,2,0,0
CPF-04277,7075.16,40,Casado,Engenheiro,2,0,0
CPF-00134,1500.0,35,Solteiro,Empresário,1,0,0
CPF-01060,9791.72,29,Casado,Servidor,1,1,0
CPF-05472,10624.73,25,Casado,Advogado,1,0,0
CPF-05247,7530.04,65,Divorciado,Advogado,1,0,0
CPF-01515,3380.98,31,Solteiro,Servidor,2,0,1
CPF-02972,5203.32,37,Solteiro,Engenheiro,1,0,0
CPF-06494,8249.04,29,Solteiro,Servidor,2,0,0
CPF-06735,3250.1,59,Solteiro,Autônomo,1,0,1
CPF-07556,7732.36,27,Casado,Outros,2,0,0
CPF-01801,8878.76,64,Divorciado,Servidor,2,0,0
CPF-02994,7395.57,28,Divorciado,Autônomo,1,0,1
CPF-04153,8843.05,48,Casado,Advogado,1,0,0
CPF-01146,12222.62,63,Casado,Empresário,1,0,0
CPF-05179,2283.81,45,Divorciado,Outros,2,0,0
CPF-06722,10258.15,45,Divorciado,Engenheiro,2,0,0
CPF-05028,13735.99,37,Casado,Engenheiro,2,0,0
CPF-01675,10063.69,64,Divorciado,Engenheiro,1,0,0
CPF-01318,15770.1,46,Casado,Advogado,1,0,0
CPF-02637,9537.04,58,Solteiro,Médico,2,0,0
CPF-01434,2019.77,51,Casado,Comerciante,1,0,0
CPF-07433,11231.9,47,Divorciado,Outros,1,0,0
CPF-07469,6935.81,55,Casado,Médico,2,0,0
CPF-05774,3807.11,25,Casado,Empresário,2,0,0
CPF-05919,12959.08,46,Casado,Advogado,1,0,0
CPF-02698,6344.01,65,Solteiro,Advogado,1,0,0
CPF-05906,13683.87,37,Divorciado,Comerciante,2,0,0
CPF-06574,5555.57,25,Divorciado,Servidor,2,0,0
CPF-06379,10641.97,55,Casado,Médico,1,0,0
CPF-02347,10628.95,47,Casado,Servidor,1,1,0
CPF-01289,8315.98,46,Casado,Engenheiro,2,0,0
CPF-07498,12138.52,48,Divorciado,Outros,1,0,0
CPF-01211,8189.04,58,Casado,Outros,1,1,0
CPF-03824,7498.6,48,Solteiro,Médico,1,1,0
CPF-00977,10390.72,45,Casado,Comerciante,2,0,0
CPF-07096,14225.49,28,Solteiro,Servidor,2,0,0
CPF-03317,11372.24,35,Divorciado,Comerciante,2,0,0
CPF-03501,1519.05,49,Solteiro,Engenheiro,1,0,0
CPF-00649,3334.81,60,Solteiro,Comerciante,1,0,0
CPF-06111,12147.61,30,Solteiro,Advogado,1,0,0
CPF-07566,11422.71,40,Solteiro,Engenheiro,1,0,0
CPF-00720,11987.66,47,Divorciado,Empresário,1,0,0
CPF-05360,14612.57,47,Divorciado,Advogado,1,0,0
CPF-01711,8056.51,45,Divorciado,Servidor,2,0,0
CPF-06357,7838.56,53,Casado,Engenheiro,2,0,0
CPF-04508,7519.05,49,Divorciado,Engenheiro,2,0,0
CPF-00657,3311.18,49,Divorciado,Advogado,2,0,0
CPF-07689,6369.43,27,Divorciado,Engenheiro,2,0,0
CPF-05282,5312.36,37,Divorciado,Outros,1,0,0
CPF-02613,2623.2,27,Solteiro,Empresário,1,0,0
CPF-01560,6940.86,36,Solteiro,Servidor,2,0,0
CPF-04589,14627.07,54,Divorciado,Advogado,1,0,0
CPF-05620,8328.93,50,Divorciado,Engenheiro,2,0,0
CPF-02002,5722.92,29,Divorciado,Advogado,1,0,0
CPF-07116,5288.9,37,Divorciado,Advogado,1,0,0
CPF-03623,1919.71,39,Solteiro,Autônomo,2,0,0
CPF-05374,12902.06,32,Casado,Médico,1,0,0
CPF-03458,11274.37,41,Solteiro,Servidor,2,0,0
CPF-02878,3044.49,50,Solteiro,Advogado,2,0,0
CPF-03698,6973.24,55,Solteiro,Médico,1,1,0
CPF-02363,7049.56,64,Divorciado,Advogado,2,0,0
CPF-06309,12615.64,65,Divorciado,Empresário,2,1,0
CPF-01486,1500.0,65,Solteiro,Autônomo,1,0,0
CPF-06261,6501.33,29,Solteiro,Advogado,1,0,0
CPF-04094,5707.76,46,Divorciado,Médico,1,0,0
CPF-06281,15028.62,54,Solteiro,Autônomo,2,1,0
CPF-04929,9410.19,39,Casado,Autônomo,1,0,0
CPF-01800,9014.02,31,Solteiro,Autônomo,2,0,0
CPF-02494,6792.27,47,Divorciado,Outros,2,0,0
CPF-00246,9435.37,57,Casado,Autônomo,2,0,0
CPF-06222,5116.03,58,Solteiro,Empresário,2,0,0
CPF-06118,14262.9,49,Casado,Empresário,2,0,0
CPF-01900,7483.78,49,Solteiro,Empresário,1,0,0
CPF-03591,8261.64,36,Divorciado,Comerciante,2,0,0
CPF-04657,9521.85,51,Casado,Outros,2,0,0
CPF-04025,7388.28,25,Solteiro,Advogado,2,0,0
CPF-05713,8120.44,57,Divorciado,Servidor,1,0,0
CPF-02976,8455.45,53,Solteiro,Empresário,1,0,0
CPF-02338,9729.92,29,Solteiro,Comerciante,1,0,0
CPF-07623,8742.94,52,Divorciado,Autônomo,1,0,0
CPF-02307,5174.77,37,Casado,Empresário,1,0,0
CPF-00671,7746.07,58,Solteiro,Autônomo,2,0,0
CPF-02037,12327.95,38,Divorciado,Empresário,1,0,0
CPF-07233,10404.37,56,Casado,Servidor,1,0,0
CPF-07862,5713.4,55,Casado,Comerciante,1,0,0
CPF-04248,10365.67,63,Solteiro,Servidor,2,0,0
CPF-03969,7273.83,46,Solteiro,Outros,2,0,0
CPF-06434,6796.73,33,Divorciado,Advogado,1,0,0
CPF-00615,9210.65,25,Divorciado,Outros,1,1,0
CPF-04825,12681.6,60,Solteiro,Outros,2,0,0
CPF-05063,7170.22,42,Divorciado,Engenheiro,1,0,0
CPF-01416,8141.55,53,Casado,Comerciante,2,0,0
CPF-03674,11431.02,51,Casado,Autônomo,2,0,0
CPF-04321,9414.4,61,Solteiro,Servidor,1,0,0
CPF-07097,4912.46,39,Casado,Médico,2,0,0
CPF-07809,11748.76,48,Divorciado,Autônomo,1,1,0
CPF-00514,7296.75,25,Solteiro,Comerciante,1,1,1
CPF-05266,9820.53,54,Divorciado,Advogado,1,0,0
CPF-06128,11983.34,37,Divorciado,Engenheiro,2,1,0
CPF-03044,14098.21,56,Divorciado,Comerciante,2,0,0
CPF-02746,7456.09,43,Casado,Autônomo,1,0,0
CPF-07094,11332.0,59,Divorciado,Advogado,2,0,0
CPF-00077,6225.28,44,Casado,Engenheiro,1,0,0
